"original address","returned address",latitude,longitude
"London, UK","London, UK",51.5112139,-0.1198244
"Brooklyn, New York","Brooklyn, NY, USA",40.65,-73.95
"321 West 37th Street, Manhattan, New York, USA","321 West 37th Street, New York, NY 10018, USA",40.7545443,-73.9930957
"San Francisco, USA","San Francisco, CA, USA",37.7749295,-122.4194155
"Zurich, Switzerland","Zurich, Switzerland",47.3686498,8.5391825
"Prague","Prague, Czech Republic",50.0755381,14.4378005
"Nairobi, Kenya","Nairobi, Kenya",-1.2920659,36.8219462
"Beijing","Beijing, China",39.90403,116.407526
"Yellowstone National Park","Yellowstone National Park, WY 82190, USA",44.4225727,-110.5866674
"OX1 3PU","Oxford, Oxfordshire OX1 3PU, UK",51.7599982,-1.256313
"Saint Peter's University, Jersey City, NJ","Saint Peter's University, 2641 John F Kennedy Boulevard West, Jersey City, NJ 07306, USA",40.7266843,-74.0712895
"Valencia, Spain","Valencia, Spain",39.4699075,-0.3762881
"Barcelona, Spain","Barcelona, Spain",41.3850639,2.1734035
"Milan, Italy","Milan, Italy",45.4654542,9.186516
"Beersheva, Israel","Beersheba, Israel",31.252973,34.791462
"Tel Aviv, Israel","Tel Aviv, Israel",32.066158,34.777819
"Jerusalem, Israel","Jerusalem, Israel",31.768319,35.21371
"Eliat, Israel","Eilat, Israel",29.557669,34.951925
"Xi'an, China","Xi'an, Shaanxi, China",34.341568,108.940175
"Warsaw, Poland","Warsaw, Poland",52.2296756,21.0122287
"Krakow, Poland","Kraków, Poland",50.0646501,19.9449799
"Negril, Jamaica","Negril, Jamaica",18.273979,-78.353142
"Cancun, Mexico","Cancún, Quintana Roo, Mexico",21.158964,-86.845937
"Ann Arbor, MI","Ann Arbor, MI, USA",42.2808256,-83.7430378
"Madison, WI","Madison, WI, USA",43.0730517,-89.4012302
"Minneapolis, MN","Minneapolis, MN, USA",44.983334,-93.26667
"Lawrence, Kansas","Lawrence, KS, USA",38.9716689,-95.2352501
"Kirksville, MO","Kirksville, MO 63501, USA",40.1947539,-92.5832496
"St Louis, MO","St. Louis, MO, USA",38.6270025,-90.1994042
"Kansas City, MO","Kansas City, MO, USA",39.0997265,-94.5785667
"Jackson Hole, WY","Jackson, WY, USA",43.4799291,-110.7624282
"Los Angeles, CA","Los Angeles, CA, USA",34.0522342,-118.2436849
"San Diego, CA","San Diego, CA, USA",32.7153292,-117.1572551
"Los Altos, CA","Los Altos, CA, USA",37.3852183,-122.1141298
"Columbus, OH","Columbus, OH, USA",39.9611755,-82.9987942
"Coco Beach, FL","Cocoa Beach, FL, USA",28.3200067,-80.6075513
"Orlando, FL","Orlando, FL, USA",28.5383355,-81.3792365
"Atlanta, GA","Atlanta, GA, USA",33.7489954,-84.3879824
"Arkadelphia, AR","Arkadelphia, AR, USA",34.1209292,-93.0537839
"Philadelphia, PA","Philadelphia, PA, USA",39.952335,-75.163789
"Jersey City, NJ","Jersey City, NJ, USA",40.7281575,-74.0776417
"Manchester, UK","Manchester, UK",53.479251,-2.247926
"Paris, France","Paris, France",48.856614,2.3522219
"Honolulu, HI","Honolulu, HI, USA",21.3069444,-157.8583333
"Rovinj, Croatia","Rovinj, Croatia",45.0811661,13.6387067
"St Gallen, Switzerland","St. Gallen, Switzerland",47.4166667,9.3666667
"Amsterdam, The Netherlands","Amsterdam, The Netherlands",52.3702157,4.8951679
"Istanbul, Turkey","Istanbul, Turkey",41.00527,28.97696
"Olympus, Turkey","Uludağ, 16370 Bursa Province, Turkey",40.0736111,29.2177777
"Troy, Turkey","Troia, Tevfikiye Köyü, 17060 İntepe/Çanakkale Province, Turkey",39.9575,26.2388889
"Dallas, Texas","Dallas, TX, USA",32.7801399,-96.8004511
"Arlington, Texas","Arlington, TX, USA",32.735687,-97.1080656
"Ithaca, New York","Ithaca, NY, USA",42.4439614,-76.5018807
"Lewes, Delaware","Lewes, DE, USA",38.7745565,-75.1393498
"Washington, DC","Washington, DC, USA",38.8951118,-77.0363658
"State College, PA","State College, PA, USA",40.7933949,-77.8600012
"Chicago, IL","Chicago, IL, USA",41.8781136,-87.6297982
"Door County, WI","Door, WI, USA",44.8341302,-87.3770488
"Laax, Switzerland","Laax, Switzerland",46.8058842,9.258219
"Lake Tahoe, CA","Lake Tahoe, United States",39.1100901,-120.0316916
"Sunrise Beach, MO","Sunrise Beach, MO, USA",38.1758645,-92.7843553
"Boston, MA","Boston, MA, USA",42.3584308,-71.0597732
"Dayton, OH","Dayton, OH, USA",39.7589478,-84.1916069
"Pittsburgh, PA","Pittsburgh, PA, USA",40.4406248,-79.9958864
"New Orleans, LA","New Orleans, LA, USA",29.9510658,-90.0715323
